factor 1,factor 2,value ,comparison,result
x1,x3,0.4781,"(Min(x1,x3),Max(x1,x3))","Weakened, single factor nonlinear"
x3,x10,0.2838,"(Min(x3,x10),Max(x3,x10))","Weakened, single factor nonlinear"
x3,x6,0.2626,"(Min(x3,x6),Max(x3,x6))","Weakened, single factor nonlinear"
x4,x10,0.3538,"(Min(x4,x10),Max(x4,x10))","Weakened, single factor nonlinear"
x4,x6,0.3472,"(Min(x4,x6),Max(x4,x6))","Weakened, single factor nonlinear"
x4,x9,0.4376,"(Min(x4,x9),Max(x4,x9))","Weakened, single factor nonlinear"
x3,x9,0.3964,"<Min(x3,x9)","Weakened, nonlinear"
x1,x10,0.521,">Max(x1,x10)","Enhanced, double factors"
x1,x2,0.6661,">Max(x1,x2)","Enhanced, double factors"
x1,x4,0.5775,">Max(x1,x4)","Enhanced, double factors"
x1,x8,0.6235,">Max(x1,x8)","Enhanced, double factors"
x1,x9,0.5663,">Max(x1,x9)","Enhanced, double factors"
x2,x10,0.529,">Max(x2,x10)","Enhanced, double factors"
x2,x3,0.5334,">Max(x2,x3)","Enhanced, double factors"
x2,x4,0.4787,">Max(x2,x4)","Enhanced, double factors"
x2,x5,0.5359,">Max(x2,x5)","Enhanced, double factors"
x2,x6,0.5988,">Max(x2,x6)","Enhanced, double factors"
x3,x4,0.3173,">Max(x3,x4)","Enhanced, double factors"
x3,x5,0.551,">Max(x3,x5)","Enhanced, double factors"
x3,x7,0.615,">Max(x3,x7)","Enhanced, double factors"
x3,x8,0.5437,">Max(x3,x8)","Enhanced, double factors"
x4,x5,0.4979,">Max(x4,x5)","Enhanced, double factors"
x4,x7,0.567,">Max(x4,x7)","Enhanced, double factors"
x4,x8,0.6174,">Max(x4,x8)","Enhanced, double factors"
x5,x10,0.5863,">Max(x5,x10)","Enhanced, double factors"
x5,x6,0.6152,">Max(x5,x6)","Enhanced, double factors"
x5,x7,0.563,">Max(x5,x7)","Enhanced, double factors"
x6,x10,0.3433,">Max(x6,x10)","Enhanced, double factors"
x6,x7,0.6233,">Max(x6,x7)","Enhanced, double factors"
x6,x8,0.6097,">Max(x6,x8)","Enhanced, double factors"
x6,x9,0.5522,">Max(x6,x9)","Enhanced, double factors"
x7,x10,0.6359,">Max(x7,x10)","Enhanced, double factors"
x7,x8,0.6757,">Max(x7,x8)","Enhanced, double factors"
x7,x9,0.6166,">Max(x7,x9)","Enhanced, double factors"
x8,x10,0.5618,">Max(x8,x10)","Enhanced, double factors"
x8,x9,0.5506,">Max(x8,x9)","Enhanced, double factors"
x9,x10,0.4256,">Max(x9,x10)","Enhanced, double factors"
x1,x5,0.6546,>x1+x5,"Enhanced, nonlinear"
x1,x6,0.5675,>x1+x6,"Enhanced, nonlinear"
x1,x7,0.6709,>x1+x7,"Enhanced, nonlinear"
x2,x7,0.5579,>x2+x7,"Enhanced, nonlinear"
x2,x8,0.6704,>x2+x8,"Enhanced, nonlinear"
x2,x9,0.58,>x2+x9,"Enhanced, nonlinear"
x11,x1,0.552652438,">Max(x1,x11)","Enhanced, double factors"
x11,x10,0.312920344,">Max(x10,x11)","Enhanced, double factors"
x11,x2,0.594640581,">Max(x2,x11)","Enhanced, double factors"
x11,x3,0.314614423,">Max(x3,x11)","Enhanced, double factors"
x11,x4,0.35375705,>x4+x11,"Enhanced, nonlinear"
x11,x5,0.586292021,">Max(x5,x11)","Enhanced, double factors"
x11,x6,0.343331753,>x6+x11,"Enhanced, nonlinear"
x11,x7,0.635905434,">Max(x7,x11)","Enhanced, double factors"
x11,x8,0.546656331,">Max(x8,x11)","Enhanced, double factors"
x11,x9,0.466300918,">Max(x9,x11)","Enhanced, double factors"
